english,localization,subtitles,sex,sex_retained,method,sanitized
Twenty-five grand to the first cocksucker to nail a bull's-eye!,Spain,1,1,,,
Twenty-five grand to the first cocksucker to nail a bull's-eye!,Spain,2,1,,,
Twenty-five grand to the first cocksucker to nail a bull's-eye!,Latin_America,1,1,,,
Twenty-five grand to the first cocksucker to nail a bull's-eye!,Latin_America,2,1,,,
She was the one with my cock in her mouth in the Ferrari. So put your dick back in your pants.,Spain,1,1,,,
She was the one with my cock in her mouth in the Ferrari. So put your dick back in your pants.,Spain,2,1,,,
She was the one with my cock in her mouth in the Ferrari. So put your dick back in your pants.,Latin_America,1,1,,,
She was the one with my cock in her mouth in the Ferrari. So put your dick back in your pants.,Latin_America,2,1,,,
"I fuck hookers maybe five, six times a week.",Spain,1,1,,,
"I fuck hookers maybe five, six times a week.",Spain,2,1,,,
"I fuck hookers maybe five, six times a week.",Latin_America,1,1,,,
"I fuck hookers maybe five, six times a week.",Latin_America,2,1,,,
"We're gonna crash, for Christ sake!",Spain,1,0,,,
"We're gonna crash, for Christ sake!",Spain,2,0,,,
"We're gonna crash, for Christ sake!",Latin_America,1,0,,,
"We're gonna crash, for Christ sake!",Latin_America,2,0,,,
"You can save the fucking
spotted owl with money.",Spain,1,0,,,
"You can save the fucking
spotted owl with money.",Spain,2,0,,,
"You can save the fucking
spotted owl with money.",Latin_America,1,0,,,
"You can save the fucking
spotted owl with money.",Latin_America,2,0,,,
and already a money-crazed little shit.,Spain,1,0,,,
and already a money-crazed little shit.,Spain,2,0,,,
and already a money-crazed little shit.,Latin_America,1,0,,,
and already a money-crazed little shit.,Latin_America,2,0,,,
"that is all you're gonna
fucking be doing.",Spain,1,0,,,
"that is all you're gonna
fucking be doing.",Spain,2,0,,,
"that is all you're gonna
fucking be doing.",Latin_America,1,0,,,
"that is all you're gonna
fucking be doing.",Latin_America,2,0,,,
"I could only imagine
what a douchebag that guy must be.",Spain,1,0,,,
"I could only imagine
what a douchebag that guy must be.",Spain,2,0,,,
"I could only imagine
what a douchebag that guy must be.",Latin_America,1,0,,,
"I could only imagine
what a douchebag that guy must be.",Latin_America,2,0,,,
"I see you've
already met the village asshole.",Spain,1,0,,,
"I see you've
already met the village asshole.",Spain,2,0,,,
"I see you've
already met the village asshole.",Latin_America,1,0,,,
"I see you've
already met the village asshole.",Latin_America,2,0,,,
"And don't pick up
your fucking head until 1:00.",Spain,1,0,,,
"And don't pick up
your fucking head until 1:00.",Spain,2,0,,,
"And don't pick up
your fucking head until 1:00.",Latin_America,1,0,,,
"And don't pick up
your fucking head until 1:00.",Latin_America,2,0,,,
"Hey, fuck him.",Spain,1,0,,,
"Hey, fuck him.",Spain,2,0,,,
"Hey, fuck him.",Latin_America,1,0,,,
"Hey, fuck him.",Latin_America,2,0,,,
"Why don't you blow me, Hanna?",Spain,1,1,,,
"Why don't you blow me, Hanna?",Spain,2,1,,,
"Why don't you blow me, Hanna?",Latin_America,1,1,,,
"Why don't you blow me, Hanna?",Latin_America,2,1,,,
I fucking love that.,Spain,1,0,,,
I fucking love that.,Spain,2,0,,,
I fucking love that.,Latin_America,1,0,,,
I fucking love that.,Latin_America,2,0,,,
Let's fuck!,Spain,1,0,,,
Let's fuck!,Spain,2,0,,,
Let's fuck!,Latin_America,1,0,,,
Let's fuck!,Latin_America,2,0,,,
"Fuck this, ""Shit"" that. Cunt, ""cock,"" ""asshole.""",Spain,1,1,,,
"Fuck this, ""Shit"" that. Cunt, ""cock,"" ""asshole.""",Spain,2,1,,,
"Fuck this, ""Shit"" that. Cunt, ""cock,"" ""asshole.""",Latin_America,1,1,,,
"Fuck this, ""Shit"" that. Cunt, ""cock,"" ""asshole.""",Latin_America,2,1,,,
Good fucking package...,Spain,1,0,,,
Good fucking package...,Spain,2,0,,,
Good fucking package...,Latin_America,1,0,,,
Good fucking package...,Latin_America,2,0,,,
Piece of shit!,Spain,1,0,,,
Piece of shit!,Spain,2,0,,,
Piece of shit!,Latin_America,1,0,,,
Piece of shit!,Latin_America,2,0,,,
"Fuckface, look at
where the stock's at today, huh?",Spain,1,0,,,
"Fuckface, look at
where the stock's at today, huh?",Spain,2,0,,,
"Fuckface, look at
where the stock's at today, huh?",Latin_America,1,0,,,
"Fuckface, look at
where the stock's at today, huh?",Latin_America,2,0,,,
"You motherfucker,
you can't get any at 44…",Spain,1,0,,,
"You motherfucker,
you can't get any at 44…",Spain,2,0,,,
"You motherfucker,
you can't get any at 44…",Latin_America,1,0,,,
"You motherfucker,
you can't get any at 44…",Latin_America,2,0,,,
Pick up the cocksucking phone!,Spain,1,0,,,
Pick up the cocksucking phone!,Spain,2,0,,,
Pick up the cocksucking phone!,Latin_America,1,0,,,
Pick up the cocksucking phone!,Latin_America,2,0,,,
"You are such
a fucking douchebag, Hanna.",Spain,1,0,,,
"You are such
a fucking douchebag, Hanna.",Spain,2,0,,,
"You are such
a fucking douchebag, Hanna.",Latin_America,1,0,,,
"You are such
a fucking douchebag, Hanna.",Latin_America,2,0,,,
"We don't give two shits
about how technology works because all we care about
is getting fucking rich.",Spain,1,0,,,
"We don't give two shits
about how technology works because all we care about
is getting fucking rich.",Spain,2,0,,,
"We don't give two shits
about how technology works because all we care about
is getting fucking rich.",Latin_America,1,0,,,
"We don't give two shits
about how technology works because all we care about
is getting fucking rich.",Latin_America,2,0,,,
"In. In. Shut that motherfucker.
Shut it! Shut it! Shut it!",Spain,1,0,,,
"In. In. Shut that motherfucker.
Shut it! Shut it! Shut it!",Spain,2,0,,,
"In. In. Shut that motherfucker.
Shut it! Shut it! Shut it!",Latin_America,1,0,,,
"In. In. Shut that motherfucker.
Shut it! Shut it! Shut it!",Latin_America,2,0,,,
until one of us passes the fuck out.,Spain,1,0,,,
until one of us passes the fuck out.,Spain,2,0,,,
until one of us passes the fuck out.,Latin_America,1,0,,,
until one of us passes the fuck out.,Latin_America,2,0,,,
"How the fuck else
would you do this job?",Spain,1,0,,,
"How the fuck else
would you do this job?",Spain,2,0,,,
"How the fuck else
would you do this job?",Latin_America,1,0,,,
"How the fuck else
would you do this job?",Latin_America,2,0,,,
Fuck the clients.,Spain,1,0,,,
Fuck the clients.,Spain,2,0,,,
Fuck the clients.,Latin_America,1,0,,,
Fuck the clients.,Latin_America,2,0,,,
"Nobody knows if a stock is gonna go up,
down, sideways, or in fucking circles.",Spain,1,0,,,
"Nobody knows if a stock is gonna go up,
down, sideways, or in fucking circles.",Spain,2,0,,,
"Nobody knows if a stock is gonna go up,
down, sideways, or in fucking circles.",Latin_America,1,0,,,
"Nobody knows if a stock is gonna go up,
down, sideways, or in fucking circles.",Latin_America,2,0,,,
